median,mean,date,city
-3.2,-3.2,2021-01-01,Edmundston
8.8,8.850000000000001,2021-01-01,Victoria
2.8,2.8,2021-01-01,Halifax
-4.1,-4.1,2021-01-01,Red Deer
-1.6,-0.9500000000000001,2021-01-01,Calgary
2.0,5.9,2021-01-01,Vancouver
-0.3,0.30000000000000004,2021-01-01,Prince George
-3.8,-3.75,2021-01-01,Gander
9.1,9.2,2021-01-01,Nanaimo
"","",2021-01-01,Chilliwack
-0.1,0.0,2021-01-01,Quesnel
4.3,4.5,2021-01-01,Kelowna
-13.1,-13.05,2021-01-01,Thunder Bay
-14.0,-14.0,2021-01-01,Atikokan
4.0,4.0,2021-01-01,Prince Rupert
-8.0,-7.95,2021-01-01,Winnipeg
0.2,0.2,2021-01-01,Moncton
-0.4,-0.2,2021-01-01,Medicine Hat
-12.8,-12.15,2021-01-01,Fort Nelson
-10.1,-10.05,2021-01-01,Kenora
-22.5,-22.5,2021-01-01,Iqaluit
1.6,1.6,2021-01-01,Creston
2.0,1.9000000000000001,2021-01-01,Lethbridge
6.5,6.5,2021-01-01,Lillooet
-11.8,-11.8,2021-01-01,Dryden
-2.7,-2.9333333333333336,2021-01-01,Edmonton
3.0,3.0,2021-01-01,Liverpool
-1.8,-1.8,2021-01-01,Rimouski
-0.4,-0.4,2021-01-01,Windsor
-1.7,-1.7,2021-01-01,Trois-Rivières
"","",2021-01-01,Hamilton
-3.3,-3.3,2021-01-01,Chicoutimi
-3.2,-3.2,2021-01-01,Kitchener
-8.1,-8.0,2021-01-01,Saskatoon
-0.5,-0.35,2021-01-01,Ottawa
-3.3,-3.3,2021-01-01,Peterborough
-2.5,-2.5,2021-01-01,Québec
0.3,0.3,2021-01-01,Montréal
-3.2,-3.2,2021-01-01,Rivière-du-Loup
-3.1,-3.1,2021-01-01,Saint-Georges
-0.1,0.2,2021-01-01,Toronto
-0.7,-0.7,2021-01-01,Belleville
-6.0,-6.0,2021-01-01,Val-d’Or
-0.3,-0.2,2021-01-01,London
0.8,0.8,2021-01-02,Prince Rupert
1.9,3.0999999999999996,2021-01-02,Nanaimo
5.4,5.45,2021-01-02,Victoria
2.8,2.8,2021-01-02,Creston
"","",2021-01-02,Chilliwack
-5.0,-5.0,2021-01-02,Red Deer
-3.0,-3.5,2021-01-02,Lethbridge
-3.7,-3.7,2021-01-02,Medicine Hat
-6.4,-6.4,2021-01-02,Atikokan
-1.3,2.0500000000000003,2021-01-02,Vancouver
-1.3,-1.25,2021-01-02,Gander
-5.4,-5.4,2021-01-02,Edmundston
-2.7,-3.3000000000000003,2021-01-02,Edmonton
4.0,4.0,2021-01-02,Abbotsford
-0.9,-0.9,2021-01-02,Moncton
-4.2,-3.6,2021-01-02,Calgary
-8.7,-8.649999999999999,2021-01-02,Kenora
-17.1,-16.1,2021-01-02,Fort Nelson
1.3,1.3,2021-01-02,Liverpool
3.0,3.05,2021-01-02,Kelowna
-5.0,-4.95,2021-01-02,Quesnel
1.4,1.4,2021-01-02,Halifax
3.0,3.0,2021-01-02,Lillooet
-5.7,-4.833333333333333,2021-01-02,Prince George
-2.7,-2.6500000000000004,2021-01-02,Thunder Bay
-7.3,-7.199999999999999,2021-01-02,Winnipeg
-9.0,-9.0,2021-01-02,Dryden
-13.6,-13.6,2021-01-02,Iqaluit
3.3,3.45,2021-01-02,Toronto
-3.5,-3.5,2021-01-02,Chicoutimi
-0.9,-0.9,2021-01-02,Québec
-6.4,-6.4,2021-01-02,Saskatoon
3.6,3.7,2021-01-02,London
3.0,3.2,2021-01-02,Belleville
"","",2021-01-02,Hamilton
-0.6,-0.6,2021-01-02,Trois-Rivières
-4.1,-4.1,2021-01-02,Val-d’Or
0.7,0.7,2021-01-02,Peterborough
-0.1,0.09999999999999999,2021-01-02,Ottawa
